Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
A,"Agilent Technologies",144.68,-0.48999999999998,-0.34%,145.15,142.36,2225400,2022-01-14
AAL,"American Airlines Gp",18.49,-0.85,-4.40%,19.16,18.4,44983102,2022-01-14
AAPL,"Apple Inc",173.07,0.88,+0.51%,173.78,171.09,80440703,2022-01-14
ABBV,"Abbvie Inc",135.87,2.35,+1.76%,136.05,132.2906,10484500,2022-01-14
ABC,"Amerisourcebergen Corp",136.2,1.31,+0.97%,136.305,133.33,926900,2022-01-14
ABT,"Abbott Laboratories",128.16,-1.49,-1.15%,130.59,127.02,9256800,2022-01-14
ACN,"Accenture Plc",353.36,-8.01,-2.22%,359.375,349.72,3949700,2022-01-14
ADBE,"Adobe Systems Inc",520.6,3.7,+0.72%,522.57,511.27,2659800,2022-01-14
ADI,"Analog Devices",172,2.22,+1.31%,172.12,168.09,2869600,2022-01-14
ADM,"Archer Daniels Midland",71.55,0.64999999999999,+0.92%,71.67,70.42,1757300,2022-01-14
ADSK,"Autodesk Inc",259.1,-1.07,-0.41%,261.37,251.14,1856700,2022-01-14
AFL,"Aflac Inc",64.06,0.63,+0.99%,64.08,62.448,2791500,2022-01-14
AIZ,"Assurant Inc",154.89,-1.06,-0.68%,155.11,152.97,365900,2022-01-14
AJG,"Arthur J. Gallagher & Company",157.7,-4.75,-2.92%,161.43,155.49,1201900,2022-01-14
AKAM,"Akamai Technologies",112.62,-0.29,-0.26%,113.44,111.92,965400,2022-01-14
ALB,"Albemarle Corp",233.67,-1.56,-0.66%,235.88,228.93,557100,2022-01-14
ALK,"Alaska Air Group",55.79,-0.76,-1.34%,56.34,54.9516,1552400,2022-01-14
ALL,"Allstate Corp",124.08,-0.079999999999998,-0.06%,124.47,122.5,1991100,2022-01-14
AMAT,"Applied Materials",167,9.82,+6.25%,167.06,155.6,11437301,2022-01-14
AMD,"Adv Micro Devices",136.88,4.14,+3.12%,137,131.43,71078398,2022-01-14
AME,"Ametek Inc",141.54,-2.52,-1.75%,143.3,139.625,938100,2022-01-14
AMGN,"Amgen Inc",235.36,4.51,+1.95%,235.8,229.99,3012000,2022-01-14
AMP,"Ameriprise Financial Services",328.58,1.26,+0.38%,328.72,319.94,589100,2022-01-14
AMT,"American Tower Corp",250.62,-4.82,-1.89%,254.2,246.085,2549800,2022-01-14
AMZN,"Amazon.com Inc",3242.76,18.48,+0.57%,3245,3196.01,2298700,2022-01-14
ANET,"Arista Networks Inc",129.74,-1.46,-1.11%,131.25,127.56,1956200,2022-01-14
ANSS,"Ansys Inc",348.54,-3.54,-1.01%,354.62,343.01,575100,2022-01-14
ANTM,"Anthem Inc",452.14,5.31,+1.19%,452.39,446.34,830600,2022-01-14
APA,"Apa Corp",33.29,1.2,+3.74%,33.37,31.67,11021899,2022-01-14
