,effective_date,snp500_esg_index_usd
0,2021-01-14 00:00:00,321.54
1,2021-01-15 00:00:00,319.39
2,2021-01-19 00:00:00,321.93
3,2021-01-20 00:00:00,326.96
4,2021-01-21 00:00:00,327.63
5,2021-01-22 00:00:00,326.87
6,2021-01-25 00:00:00,328.12
7,2021-01-26 00:00:00,327.82
8,2021-01-27 00:00:00,319.48
9,2021-01-28 00:00:00,322.29
10,2021-01-29 00:00:00,316.35
11,2021-02-01 00:00:00,321.45
12,2021-02-02 00:00:00,325.42
13,2021-02-03 00:00:00,326.12
14,2021-02-04 00:00:00,329.09
15,2021-02-05 00:00:00,330.45
16,2021-02-08 00:00:00,332.33
17,2021-02-09 00:00:00,331.75
18,2021-02-10 00:00:00,331.85
19,2021-02-11 00:00:00,332.36
20,2021-02-12 00:00:00,333.73
21,2021-02-16 00:00:00,333.59
22,2021-02-17 00:00:00,333.54
23,2021-02-18 00:00:00,332.27
24,2021-02-19 00:00:00,331.27
25,2021-02-22 00:00:00,328.7
26,2021-02-23 00:00:00,329.15
27,2021-02-24 00:00:00,332.19
28,2021-02-25 00:00:00,324.36
29,2021-02-26 00:00:00,323.04
30,2021-03-01 00:00:00,330.51
31,2021-03-02 00:00:00,327.88
32,2021-03-03 00:00:00,323.75
33,2021-03-04 00:00:00,320.4
34,2021-03-05 00:00:00,326.79
35,2021-03-08 00:00:00,324.52
36,2021-03-09 00:00:00,328.83
37,2021-03-10 00:00:00,330.51
38,2021-03-11 00:00:00,333.93
39,2021-03-12 00:00:00,333.86
40,2021-03-15 00:00:00,335.89
41,2021-03-16 00:00:00,336.18
42,2021-03-17 00:00:00,336.89
43,2021-03-18 00:00:00,332.11
44,2021-03-19 00:00:00,331.79
45,2021-03-22 00:00:00,334.45
46,2021-03-23 00:00:00,332.27
47,2021-03-24 00:00:00,330.61
48,2021-03-25 00:00:00,331.99
49,2021-03-26 00:00:00,337.79
50,2021-03-29 00:00:00,337.89
51,2021-03-30 00:00:00,336.3
52,2021-03-31 00:00:00,337.46
53,2021-04-01 00:00:00,341.62
54,2021-04-05 00:00:00,346.78
55,2021-04-06 00:00:00,346.25
56,2021-04-07 00:00:00,347.49
57,2021-04-08 00:00:00,348.73
58,2021-04-09 00:00:00,351.97
59,2021-04-12 00:00:00,351.58
60,2021-04-13 00:00:00,352.55
61,2021-04-14 00:00:00,350.99
62,2021-04-15 00:00:00,355.31
63,2021-04-16 00:00:00,356.5
64,2021-04-19 00:00:00,354.94
65,2021-04-20 00:00:00,352.43
66,2021-04-21 00:00:00,355.51
67,2021-04-22 00:00:00,352.07
68,2021-04-23 00:00:00,356.07
69,2021-04-26 00:00:00,356.64
70,2021-04-27 00:00:00,356.92
71,2021-04-28 00:00:00,356.87
72,2021-04-29 00:00:00,359.56
73,2021-04-30 00:00:00,356.7
74,2021-05-03 00:00:00,357.66
75,2021-05-04 00:00:00,354.9
76,2021-05-05 00:00:00,355.51
77,2021-05-06 00:00:00,358.37
78,2021-05-07 00:00:00,361.06
79,2021-05-10 00:00:00,357.15
80,2021-05-11 00:00:00,353.9
81,2021-05-12 00:00:00,346.3
82,2021-05-13 00:00:00,350.49
83,2021-05-14 00:00:00,355.61
84,2021-05-17 00:00:00,354.66
85,2021-05-18 00:00:00,351.55
86,2021-05-19 00:00:00,350.44
87,2021-05-20 00:00:00,354.19
88,2021-05-21 00:00:00,353.81
89,2021-05-24 00:00:00,357.44
90,2021-05-25 00:00:00,356.65
91,2021-05-26 00:00:00,357.37
92,2021-05-27 00:00:00,357.15
93,2021-05-28 00:00:00,357.63
94,2021-06-01 00:00:00,357.4
95,2021-06-02 00:00:00,358.08
96,2021-06-03 00:00:00,356.85
97,2021-06-04 00:00:00,360.19
98,2021-06-07 00:00:00,360.1
99,2021-06-08 00:00:00,360.31
100,2021-06-09 00:00:00,359.74
101,2021-06-10 00:00:00,361.59
102,2021-06-11 00:00:00,362.28
103,2021-06-14 00:00:00,363.12
104,2021-06-15 00:00:00,362.21
105,2021-06-16 00:00:00,360.53
106,2021-06-17 00:00:00,360.5
107,2021-06-18 00:00:00,355.83
108,2021-06-21 00:00:00,360.69
109,2021-06-22 00:00:00,362.67
110,2021-06-23 00:00:00,362.32
111,2021-06-24 00:00:00,364.32
112,2021-06-25 00:00:00,365.29
113,2021-06-28 00:00:00,366.21
114,2021-06-29 00:00:00,366.69
115,2021-06-30 00:00:00,367.27
116,2021-07-01 00:00:00,368.96
117,2021-07-02 00:00:00,372.3
118,2021-07-06 00:00:00,371.89
119,2021-07-07 00:00:00,373.24
120,2021-07-08 00:00:00,370.18
121,2021-07-09 00:00:00,374.0
122,2021-07-12 00:00:00,375.42
123,2021-07-13 00:00:00,374.43
124,2021-07-14 00:00:00,374.88
125,2021-07-15 00:00:00,373.57
126,2021-07-16 00:00:00,370.79
127,2021-07-19 00:00:00,364.95
128,2021-07-20 00:00:00,370.23
129,2021-07-21 00:00:00,373.19
130,2021-07-22 00:00:00,374.2
131,2021-07-23 00:00:00,377.6
132,2021-07-26 00:00:00,378.69
133,2021-07-27 00:00:00,376.41
134,2021-07-28 00:00:00,376.08
135,2021-07-29 00:00:00,378.22
136,2021-07-30 00:00:00,375.8
137,2021-08-02 00:00:00,375.49
138,2021-08-03 00:00:00,378.56
139,2021-08-04 00:00:00,376.66
140,2021-08-05 00:00:00,378.67
141,2021-08-06 00:00:00,379.09
142,2021-08-09 00:00:00,378.62
143,2021-08-10 00:00:00,379.1
144,2021-08-11 00:00:00,379.97
145,2021-08-12 00:00:00,381.35
146,2021-08-13 00:00:00,382.15
147,2021-08-16 00:00:00,383.21
148,2021-08-17 00:00:00,380.46
149,2021-08-18 00:00:00,376.24
150,2021-08-19 00:00:00,376.74
151,2021-08-20 00:00:00,379.98
152,2021-08-23 00:00:00,383.45
153,2021-08-24 00:00:00,383.98
154,2021-08-25 00:00:00,384.66
155,2021-08-26 00:00:00,382.4
156,2021-08-27 00:00:00,385.67
157,2021-08-30 00:00:00,387.52
158,2021-08-31 00:00:00,387.03
159,2021-09-01 00:00:00,387.06
160,2021-09-02 00:00:00,388.07
161,2021-09-03 00:00:00,388.02
162,2021-09-07 00:00:00,386.81
163,2021-09-08 00:00:00,386.39
164,2021-09-09 00:00:00,384.33
165,2021-09-10 00:00:00,381.13
