,Symbol,Security,GICS Sector,GICS Sub-Industry,is_esg
0,A,Agilent Technologies,Health Care,Health Care Equipment,1
1,AAL,American Airlines Group,Industrials,Airlines,1
2,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0
3,AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",1
4,ABBV,AbbVie,Health Care,Pharmaceuticals,1
5,ABC,AmerisourceBergen,Health Care,Health Care Distributors,1
6,ABMD,Abiomed,Health Care,Health Care Equipment,0
7,ABT,Abbott,Health Care,Health Care Equipment,1
8,ACN,Accenture,Information Technology,IT Consulting & Other Services,1
9,ADBE,Adobe,Information Technology,Application Software,1
10,ADI,Analog Devices,Information Technology,Semiconductors,1
11,ADM,ADM,Consumer Staples,Agricultural Products,1
12,ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,0
13,ADSK,Autodesk,Information Technology,Application Software,1
14,AEE,Ameren,Utilities,Multi-Utilities,0
15,AEP,American Electric Power,Utilities,Electric Utilities,0
16,AES,AES,Utilities,Independent Power Producers & Energy Traders,0
17,AFL,Aflac,Financials,Life & Health Insurance,1
18,AIG,AIG,Financials,Property & Casualty Insurance,0
19,AIZ,Assurant,Financials,Multi-line Insurance,1
20,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1
21,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,1
22,ALB,Albemarle,Materials,Specialty Chemicals,1
23,ALGN,Align Technology,Health Care,Health Care Supplies,0
24,ALK,Alaska Air Group,Industrials,Airlines,1
25,ALL,Allstate,Financials,Property & Casualty Insurance,1
26,ALLE,Allegion,Industrials,Building Products,0
27,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1
28,AMCR,Amcor,Materials,Paper Packaging,0
29,AMD,AMD,Information Technology,Semiconductors,1
30,AME,Ametek,Industrials,Electrical Components & Equipment,1
31,AMGN,Amgen,Health Care,Biotechnology,1
32,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,1
33,AMT,American Tower,Real Estate,Specialized REITs,1
34,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,1
35,ANET,Arista,Information Technology,Communications Equipment,1
36,ANSS,Ansys,Information Technology,Application Software,1
37,ANTM,Anthem,Health Care,Managed Health Care,1
38,AON,Aon,Financials,Insurance Brokers,0
39,AOS,A. O. Smith,Industrials,Building Products,0
40,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1
41,APD,Air Products,Materials,Industrial Gases,1
42,APH,Amphenol,Information Technology,Electronic Components,1
43,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,1
44,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0
45,ATO,Atmos Energy,Utilities,Gas Utilities,0
46,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,1
47,AVB,AvalonBay Communities,Real Estate,Residential REITs,1
48,AVGO,Broadcom,Information Technology,Semiconductors,0
49,AVY,Avery Dennison,Materials,Paper Packaging,0
50,AWK,American Water,Utilities,Water Utilities,1
51,AXP,American Express,Financials,Consumer Finance,1
52,AZO,AutoZone,Consumer Discretionary,Specialty Stores,0
53,BA,Boeing,Industrials,Aerospace & Defense,0
54,BAC,Bank of America,Financials,Diversified Banks,1
55,BAX,Baxter International,Health Care,Health Care Equipment,1
56,BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores,0
57,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1
58,BDX,Becton Dickinson,Health Care,Health Care Equipment,1
59,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1
60,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1
61,BIIB,Biogen,Health Care,Biotechnology,1
62,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,1
63,BK,BNY Mellon,Financials,Asset Management & Custody Banks,1
64,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,1
65,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0
66,BLK,BlackRock,Financials,Asset Management & Custody Banks,1
67,BLL,Ball,Materials,Metal & Glass Containers,1
68,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,1
69,BR,Broadridge,Information Technology,Data Processing & Outsourced Services,0
70,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0
71,BRO,Brown & Brown,Financials,Insurance Brokers,0
72,BSX,Boston Scientific,Health Care,Health Care Equipment,1
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,1
74,BXP,Boston Properties,Real Estate,Office REITs,1
