,ticker,company_name,gics_sector,gics_sub_industry,is_esg,Marketcap
0,A,Agilent Technologies,Health Care,Health Care Equipment,1,43693502464.0
1,AAL,American Airlines Group,Industrials,Airlines,1,11972533248.0
2,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,0,14940306432.0
3,AAPL,Apple,Information Technology,"Technology Hardware, Storage & Peripherals",1,2826994712576.0
4,ABBV,AbbVie,Health Care,Pharmaceuticals,1,240201842688.0
5,ABC,AmerisourceBergen,Health Care,Health Care Distributors,1,28347713536.0
6,ABMD,Abiomed,Health Care,Health Care Equipment,0,13704757248.0
7,ABT,Abbott,Health Care,Health Care Equipment,1,226624061440.0
8,ACN,Accenture,Information Technology,IT Consulting & Other Services,1,223503368192.0
9,ADBE,Adobe,Information Technology,Application Software,1,247701471232.0
10,ADI,Analog Devices,Information Technology,Semiconductors,1,90356932608.0
11,ADM,ADM,Consumer Staples,Agricultural Products,1,40028008448.0
12,ADP,Automatic Data Processing,Information Technology,Data Processing & Outsourced Services,0,96391593984.0
13,ADSK,Autodesk,Information Technology,Application Software,1,56995004416.0
14,AEE,Ameren,Utilities,Multi-Utilities,0,22692511744.0
15,AEP,American Electric Power,Utilities,Electric Utilities,0,45161566208.0
16,AES,AES,Utilities,Independent Power Producers & Energy Traders,0,15374424064.0
17,AFL,Aflac,Financials,Life & Health Insurance,1,42377482240.0
18,AIG,AIG,Financials,Property & Casualty Insurance,0,51403747328.0
19,AIZ,Assurant,Financials,Multi-line Insurance,1,8825120768.0
20,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,1,32687740928.0
21,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,1,18298497024.0
22,ALB,Albemarle,Materials,Specialty Chemicals,1,27333781504.0
23,ALGN,Align Technology,Health Care,Health Care Supplies,0,41368702976.0
24,ALK,Alaska Air Group,Industrials,Airlines,1,6991100928.0
25,ALL,Allstate,Financials,Property & Casualty Insurance,1,35570757632.0
26,ALLE,Allegion,Industrials,Building Products,0,11163551744.0
27,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1,148381679616.0
28,AMCR,Amcor,Materials,Paper Packaging,0,18965313536.0
29,AMD,AMD,Information Technology,Semiconductors,1,165297668096.0
30,AME,Ametek,Industrials,Electrical Components & Equipment,1,32741738496.0
31,AMGN,Amgen,Health Care,Biotechnology,1,132570284032.0
32,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,1,36764815360.0
33,AMT,American Tower,Real Estate,Specialized REITs,1,114135859200.0
34,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,1,1644559204352.0
35,ANET,Arista,Information Technology,Communications Equipment,1,39869104128.0
36,ANSS,Ansys,Information Technology,Application Software,1,30411161600.0
37,ANTM,Anthem,Health Care,Managed Health Care,1,109741170688.0
38,AON,Aon,Financials,Insurance Brokers,0,60249788416.0
39,AOS,A. O. Smith,Industrials,Building Products,0,12823682048.0
40,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1,12093390848.0
41,APD,Air Products,Materials,Industrial Gases,1,64587636736.0
42,APH,Amphenol,Information Technology,Electronic Components,1,48805068800.0
43,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,1,41280434176.0
44,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,0,33617043456.0
45,ATO,Atmos Energy,Utilities,Gas Utilities,0,14073365504.0
46,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,1,50931552256.0
47,AVB,AvalonBay Communities,Real Estate,Residential REITs,1,34750787584.0
48,AVGO,Broadcom,Information Technology,Semiconductors,0,246225649664.0
49,AVY,Avery Dennison,Materials,Paper Packaging,0,17310904320.0
50,AWK,American Water,Utilities,Water Utilities,1,29694171136.0
51,AXP,American Express,Financials,Consumer Finance,1,130435227648.0
52,AZO,AutoZone,Consumer Discretionary,Specialty Stores,0,41959641088.0
53,BA,Boeing,Industrials,Aerospace & Defense,0,132796473344.0
54,BAC,Bank of America,Financials,Diversified Banks,1,392099266560.0
55,BAX,Baxter International,Health Care,Health Care Equipment,1,42929414144.0
56,BBWI,Bath & Body Works,Consumer Discretionary,Specialty Stores,0,14388675584.0
57,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1,24065722368.0
58,BDX,Becton Dickinson,Health Care,Health Care Equipment,1,74857996288.0
59,BEN,Franklin Resources,Financials,Asset Management & Custody Banks,1,17723881472.0
60,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1,
61,BIIB,Biogen,Health Care,Biotechnology,1,35151495168.0
62,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,1,18775470080.0
63,BK,BNY Mellon,Financials,Asset Management & Custody Banks,1,52522213376.0
64,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,1,100635516928.0
65,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,0,23889319936.0
66,BLK,BlackRock,Financials,Asset Management & Custody Banks,1,128916758528.0
67,BLL,Ball,Materials,Metal & Glass Containers,1,29341556736.0
68,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,1,144121233408.0
69,BR,Broadridge,Information Technology,Data Processing & Outsourced Services,0,18659473408.0
70,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,0,
71,BRO,Brown & Brown,Financials,Insurance Brokers,0,18936731648.0
72,BSX,Boston Scientific,Health Care,Health Care Equipment,1,63925051392.0
