Ticker,Marketcap
A,43693502464.0
AAL,11972533248.0
AAP,14940306432.0
AAPL,2826994712576.0
ABBV,240201842688.0
ABC,28347713536.0
ABMD,13704757248.0
ABT,226624061440.0
ACN,223503368192.0
ADBE,247701471232.0
ADI,90356932608.0
ADM,40028008448.0
ADP,96391593984.0
ADSK,56995004416.0
AEE,22692511744.0
AEP,45161566208.0
AES,15374424064.0
AFL,42377482240.0
AIG,51403747328.0
AIZ,8825120768.0
AJG,32687740928.0
AKAM,18298497024.0
ALB,27333781504.0
ALGN,41368702976.0
ALK,6991100928.0
ALL,35570757632.0
ALLE,11163551744.0
AMAT,148381679616.0
AMCR,18965313536.0
AMD,165297668096.0
AME,32741738496.0
AMGN,132570284032.0
AMP,36764815360.0
AMT,114135859200.0
AMZN,1644559204352.0
ANET,39869104128.0
ANSS,30411161600.0
ANTM,109741170688.0
AON,60249788416.0
AOS,12823682048.0
APA,12093390848.0
APD,64587636736.0
APH,48805068800.0
APTV,41280434176.0
ARE,33617043456.0
ATO,14073365504.0
ATVI,50931552256.0
AVB,34750787584.0
AVGO,246225649664.0
AVY,17310904320.0
AWK,29694171136.0
AXP,130435227648.0
AZO,41959641088.0
BA,132796473344.0
BAC,392099266560.0
BAX,42929414144.0
BBWI,14388675584.0
BBY,24065722368.0
BDX,74857996288.0
BEN,17723881472.0
BF.B,
BIIB,35151495168.0
BIO,18775470080.0
BK,52522213376.0
BKNG,100635516928.0
BKR,23889319936.0
BLK,128916758528.0
BLL,29341556736.0
BMY,144121233408.0
BR,18659473408.0
BRK.B,
BRO,18936731648.0
BSX,63925051392.0
BWA,11931004928.0
BXP,19538372608.0
C,132807188480.0
CAG,16842196992.0
CAH,14960124928.0
CARR,44282494976.0
CAT,123843264512.0
CB,84537221120.0
CBOE,12600937472.0
CBRE,34748370944.0
CCI,79590178816.0
CCL,26754193408.0
CDAY,12534748160.0
CDNS,44827553792.0
CDW,26009956352.0
CE,18892384256.0
CERN,26944776192.0
CF,14249719808.0
CFG,24016369664.0
CHD,26055000064.0
CHRW,14076292096.0
CHTR,108953354240.0
CI,80261914624.0
CINF,19262793728.0
CL,70335750144.0
CLX,22926235648.0
CMA,13277523968.0
CMCSA,236121784320.0
CME,80214261760.0
CMG,42150486016.0
CMI,33975820288.0
CMS,18468184064.0
CNC,47001165824.0
CNP,17362991104.0
COF,68337868800.0
COO,20282972160.0
COP,114405720064.0
COST,223041863680.0
CPB,13994607616.0
CPRT,32425973760.0
CRL,17915367424.0
CRM,227761553408.0
CSCO,258792554496.0
CSX,80823181312.0
CTAS,41228681216.0
CTLT,18529388544.0
CTRA,18061432832.0
CTSH,46332760064.0
CTVA,35424976896.0
CTXS,11948464128.0
CVS,140216778752.0
CVX,248594907136.0
CZR,17709037568.0
D,64120414208.0
DAL,25798965248.0
DD,44023296000.0
DE,116979253248.0
DFS,37378912256.0
DG,50298740736.0
DGX,17456652288.0
DHI,35094511616.0
DHR,209592582144.0
DIS,276175257600.0
DISCA,15574067200.0
DISCK,15574071296.0
DISH,19137343488.0
DLR,44236722176.0
DLTR,29426493440.0
DOV,25698441216.0
DOW,44924157952.0
DPZ,17199876096.0
DRE,22778638336.0
DRI,18264532992.0
DTE,23127130112.0
DUK,80042442752.0
DVA,11853007872.0
DVN,34114029568.0
DXC,8573604352.0
DXCM,43357085696.0
EA,36889477120.0
EBAY,39719952384.0
ECL,61907070976.0
ED,29545115648.0
EFX,30439499776.0
EIX,24219136000.0
EL,115920928768.0
EMN,17146477568.0
EMR,58062782464.0
ENPH,19270830080.0
EOG,61803053056.0
EPAM,30802145280.0
EQIX,67239165952.0
EQR,34062704640.0
ES,30041767936.0
ESS,22387599360.0
ETN,68128710656.0
ETR,22322958336.0
ETSY,20754049024.0
EVRG,15097309184.0
EW,73833742336.0
EXC,55020605440.0
EXPD,20614772736.0
EXPE,27941763072.0
EXR,27261749248.0
F,100665286656.0
FANG,23409623040.0
FAST,34049650688.0
FB,923266121728.0
FBHS,13774286848.0
FCX,64730161152.0
FDS,16143561728.0
FDX,67890356224.0
FE,23702716416.0
FFIV,14458098688.0
FIS,71878926336.0
FISV,72037916672.0
FITB,34432425984.0
FLT,19812458496.0
FMC,14462288896.0
FOX,22536947712.0
FOXA,22536964096.0
FRC,34433667072.0
FRT,10335113216.0
FTNT,51100291072.0
FTV,25996904448.0
GD,59502424064.0
GE,113284128768.0
GILD,90026852352.0
GIS,42164166656.0
GL,10700744704.0
GLW,31652902912.0
GM,88708644864.0
GNRC,19323205632.0
GOOG,1853588504576.0
GOOGL,1853587062784.0
GPC,19669903360.0
GPN,43682234368.0
GPS,6822073344.0
GRMN,25459587072.0
GS,127073198080.0
GWW,25994930176.0
HAL,25725634560.0
HAS,13811255296.0
HBAN,25996140544.0
HCA,79932915712.0
HD,388457267200.0
HES,28426743808.0
HIG,24658573312.0
HII,7919258112.0
HLT,41245278208.0
HOLX,17496385536.0
HON,149835251712.0
HPE,22712805376.0
HPQ,41598099456.0
HRL,26629335040.0
HSIC,10786063360.0
HST,12809788416.0
HSY,41103978496.0
HUM,50341625856.0
HWM,14982534144.0
IBM,120295112704.0
ICE,71326949376.0
IDXX,44885491712.0
IEX,16750500864.0
IFF,37110407168.0
ILMN,63323385856.0
INCY,16540317696.0
INFO,48566865920.0
INTC,226531901440.0
INTU,155965554688.0
IP,19169519616.0
IPG,14986315776.0
IPGP,8596060160.0
IQV,47251832832.0
IR,24194244608.0
IRM,12963153920.0
ISRG,109936107520.0
IT,23521177600.0
ITW,76536741888.0
IVZ,11479442432.0
J,17206892544.0
JBHT,21220179968.0
JCI,53923659776.0
JKHY,12508486656.0
JNJ,441855574016.0
JNPR,11264269312.0
JPM,466607570944.0
K,23036037120.0
KEY,25147877376.0
KEYS,34254479360.0
KHC,46537998336.0
KIM,15416864768.0
KLAC,67471790080.0
KMB,48217870336.0
KMI,40564318208.0
KMX,18334513152.0
KO,265169190912.0
KR,36115775488.0
L,15634545664.0
LDOS,13201690624.0
LEN,32777779200.0
LH,26420854784.0
LHX,44711825408.0
LIN,168440954880.0
LKQ,16521710592.0
LLY,233523232768.0
LMT,102763372544.0
LNC,13430292480.0
LNT,15039184896.0
LOW,163990011904.0
LRCX,102757933056.0
LUMN,12634802176.0
LUV,27121774592.0
LVS,32843931648.0
LW,10008911872.0
LYB,34213521408.0
LYV,25793214464.0
MA,365648773120.0
MAA,24767334400.0
MAR,53021196288.0
MAS,16422173696.0
MCD,192572506112.0
MCHP,46770073600.0
MCK,39165984768.0
MCO,65724944384.0
MDLZ,94997454848.0
MDT,145951997952.0
MET,57510113280.0
MGM,20854650880.0
MHK,11566662656.0
MKC,25759074304.0
MKTX,14128366592.0
MLM,25116825600.0
MMC,81389076480.0
MMM,102999465984.0
MNST,47574888448.0
MO,93337460736.0
MOS,16012823552.0
MPC,46009044992.0
MPWR,20197029888.0
MRK,205560987648.0
MRNA,83007774720.0
MRO,15158115328.0
MS,177431248896.0
MSCI,43427975168.0
MSFT,2328975376384.0
MSI,42415104000.0
MTB,23850477568.0
MTCH,34295746560.0
MTD,34771849216.0
MU,109021782016.0
NCLH,9571840000.0
NDAQ,31126702080.0
NEE,163250044928.0
NEM,48818970624.0
NFLX,232855437312.0
NI,11125331968.0
NKE,234317021184.0
NLOK,15637573632.0
NLSN,7361592832.0
NOC,63478018048.0
NOW,105672982528.0
NRG,10011466752.0
NSC,70151495680.0
NTAP,21207543808.0
NTRS,27747659776.0
NUE,31672246272.0
NVDA,671394693120.0
NVR,19914364928.0
NWL,10145789952.0
NWS,12289692672.0
NWSA,12289678336.0
NXPI,59912040448.0
O,40452198400.0
ODFL,36357275648.0
OGN,8331653120.0
OKE,27920115712.0
